name;firstname;lastname;fullname
Bartke, Dr. Matthias; Dr. Matthias;Bartke; Dr. Matthias Bartke
Birkwald, Matthias W.; Matthias W.;Birkwald; Matthias W. Birkwald
Aumer, Peter; Peter;Aumer; Peter Aumer
Biadacz, Marc; Marc;Biadacz; Marc Biadacz
Fabritius, Dr. Dr. h. c. Bernd; Dr. Dr. h. c. Bernd;Fabritius; Dr. Dr. h. c. Bernd Fabritius
Heilmann, Thomas; Thomas;Heilmann; Thomas Heilmann
Heinrich, Frank; Frank;Heinrich; Frank Heinrich
Kartes, Torbjörn; Torbjörn;Kartes; Torbjörn Kartes
Lezius, Antje; Antje;Lezius; Antje Lezius
Oellers, Wilfried; Wilfried;Oellers; Wilfried Oellers
Schimke, Jana; Jana;Schimke; Jana Schimke
Schummer, Uwe; Uwe;Schummer; Uwe Schummer
Stracke, Stephan; Stephan;Stracke; Stephan Stracke
Straubinger, Max; Max;Straubinger; Max Straubinger
Weiler, Albert H.; Albert H.;Weiler; Albert H. Weiler
Weiß, Peter; Peter;Weiß; Peter Weiß
Whittaker, Kai; Kai;Whittaker; Kai Whittaker
Zimmer, Prof. Dr. Matthias; Prof. Dr. Matthias;Zimmer; Prof. Dr. Matthias Zimmer
Gerdes, Michael; Michael;Gerdes; Michael Gerdes
Glöckner, Angelika; Angelika;Glöckner; Angelika Glöckner
Hiller-Ohm, Gabriele; Gabriele;Hiller-Ohm; Gabriele Hiller-Ohm
Kapschack, Ralf; Ralf;Kapschack; Ralf Kapschack
Kolbe, Daniela; Daniela;Kolbe; Daniela Kolbe
Rosemann, Dr. Martin; Dr. Martin;Rosemann; Dr. Martin Rosemann
Rützel, Bernd; Bernd;Rützel; Bernd Rützel
Schmidt, Dagmar; Dagmar;Schmidt; Dagmar Schmidt
Tack, Kerstin; Kerstin;Tack; Kerstin Tack
Pohl, Jürgen; Jürgen;Pohl; Jürgen Pohl
Schielke-Ziesing, Ulrike; Ulrike;Schielke-Ziesing; Ulrike Schielke-Ziesing
Schneider, Jörg; Jörg;Schneider; Jörg Schneider
Sichert, Martin; Martin;Sichert; Martin Sichert
Springer, René; René;Springer; René Springer
Witt, Uwe; Uwe;Witt; Uwe Witt
Beeck, Jens; Jens;Beeck; Jens Beeck
Cronenberg, Carl-Julius; Carl-Julius;Cronenberg; Carl-Julius Cronenberg
Kober, Pascal; Pascal;Kober; Pascal Kober
Nölke, Matthias; Matthias;Nölke; Matthias Nölke
Vogel, Johannes; Johannes;Vogel; Johannes Vogel
Ferschl, Susanne; Susanne;Ferschl; Susanne Ferschl
Krellmann, Jutta; Jutta;Krellmann; Jutta Krellmann
Meiser, Pascal; Pascal;Meiser; Pascal Meiser
Tatti, Jessica; Jessica;Tatti; Jessica Tatti
Kurth, Markus; Markus;Kurth; Markus Kurth
Lehmann, Sven; Sven;Lehmann; Sven Lehmann
Müller-Gemmeke, Beate; Beate;Müller-Gemmeke; Beate Müller-Gemmeke
Rüffer, Corinna; Corinna;Rüffer; Corinna Rüffer
