name;firstname;lastname;fullname
Röttgen, Dr. Norbert; Dr. Norbert;Röttgen; Dr. Norbert Röttgen
De Ridder, Dr. Daniela; Dr. Daniela;De Ridder; Dr. Daniela De Ridder
Beyer, Peter; Peter;Beyer; Peter Beyer
Erndl, Thomas; Thomas;Erndl; Thomas Erndl
Groden-Kranich, Ursula; Ursula;Groden-Kranich; Ursula Groden-Kranich
Groden-Kranich, Ursula; Ursula;Groden-Kranich; Ursula Groden-Kranich
Grund, Manfred; Manfred;Grund; Manfred Grund
Hardt, Jürgen; Jürgen;Hardt; Jürgen Hardt
Kiesewetter, Roderich; Roderich;Kiesewetter; Roderich Kiesewetter
Koob, Markus; Markus;Koob; Markus Koob
Manderla, Gisela; Gisela;Manderla; Gisela Manderla
Marschall, Matern von; Matern von;Marschall; Matern von Marschall
Motschmann, Elisabeth; Elisabeth;Motschmann; Elisabeth Motschmann
Nick, Dr. Andreas; Dr. Andreas;Nick; Dr. Andreas Nick
Radwan, Alexander; Alexander;Radwan; Alexander Radwan
Schmidt, Christian; Christian;Schmidt; Christian Schmidt
Steffel, Frank; Frank;Steffel; Frank Steffel
Freitag, Dagmar; Dagmar;Freitag; Dagmar Freitag
Hendricks, Dr. Barbara; Dr. Barbara;Hendricks; Dr. Barbara Hendricks
Juratovic, Josip; Josip;Juratovic; Josip Juratovic
Kofler, Dr. Bärbel; Dr. Bärbel;Kofler; Dr. Bärbel Kofler
Matschie, Christoph; Christoph;Matschie; Christoph Matschie
Nietan, Dietmar; Dietmar;Nietan; Dietmar Nietan
Özoğuz, Aydan; Aydan;Özoğuz; Aydan Özoğuz
Saathoff, Johann; Johann;Saathoff; Johann Saathoff
Schmid, Dr. Nils; Dr. Nils;Schmid; Dr. Nils Schmid
Bystron, Petr; Petr;Bystron; Petr Bystron
Friesen, Dr. Anton; Dr. Anton;Friesen; Dr. Anton Friesen
Hampel, Armin-Paulus; Armin-Paulus;Hampel; Armin-Paulus Hampel
Hartwig, Dr. Roland; Dr. Roland;Hartwig; Dr. Roland Hartwig
Herdt, Waldemar; Waldemar;Herdt; Waldemar Herdt
Podolay, Paul Viktor; Paul Viktor;Podolay; Paul Viktor Podolay
Alt, Renata; Renata;Alt; Renata Alt
Djir-Sarai, Bijan; Bijan;Djir-Sarai; Bijan Djir-Sarai
Kulitz, Alexander; Alexander;Kulitz; Alexander Kulitz
Lechte, Ulrich; Ulrich;Lechte; Ulrich Lechte
Müller-Rosentritt, Frank; Frank;Müller-Rosentritt; Frank Müller-Rosentritt
Dağdelen, Sevim; Sevim;Dağdelen; Sevim Dağdelen
Gysi, Dr. Gregor; Dr. Gregor;Gysi; Dr. Gregor Gysi
Hänsel, Heike; Heike;Hänsel; Heike Hänsel
Vogler, Kathrin; Kathrin;Vogler; Kathrin Vogler
Nouripour, Omid; Omid;Nouripour; Omid Nouripour
Sarrazin, Manuel; Manuel;Sarrazin; Manuel Sarrazin
Schmidt, Dr. Frithjof; Dr. Frithjof;Schmidt; Dr. Frithjof Schmidt
Trittin, Jürgen; Jürgen;Trittin; Jürgen Trittin
