name;firstname;lastname;fullname
Rossmann, Dr. Ernst Dieter; Dr. Ernst Dieter;Rossmann; Dr. Ernst Dieter Rossmann
Benning, Sybille; Sybille;Benning; Sybille Benning
Abercron, Dr. Michael von; Dr. Michael von;Abercron; Dr. Michael von Abercron
Albani, Stephan; Stephan;Albani; Stephan Albani
Altenkamp, Norbert; Norbert;Altenkamp; Norbert Altenkamp
Gienger, Eberhard; Eberhard;Gienger; Eberhard Gienger
Kaufmann, Dr. Stefan; Dr. Stefan;Kaufmann; Dr. Stefan Kaufmann
Kemmer, Ronja; Ronja;Kemmer; Ronja Kemmer
Magwas, Yvonne; Yvonne;Magwas; Yvonne Magwas
Mannes, Dr. Astrid; Dr. Astrid;Mannes; Dr. Astrid Mannes
Rupprecht, Albert; Albert;Rupprecht; Albert Rupprecht
Rupprecht, Albert; Albert;Rupprecht; Albert Rupprecht
Staffler, Katrin; Katrin;Staffler; Katrin Staffler
Stefinger, Dr. Wolfgang; Dr. Wolfgang;Stefinger; Dr. Wolfgang Stefinger
Steier, Andreas; Andreas;Steier; Andreas Steier
Tiemann, Dr. Dietlind; Dr. Dietlind;Tiemann; Dr. Dietlind Tiemann
Bahr, Ulrike; Ulrike;Bahr; Ulrike Bahr
Diaby, Dr. Karamba; Dr. Karamba;Diaby; Dr. Karamba Diaby
Esdar, Dr. Wiebke; Dr. Wiebke;Esdar; Dr. Wiebke Esdar
Fahimi, Yasmin; Yasmin;Fahimi; Yasmin Fahimi
Kaczmarek, Oliver; Oliver;Kaczmarek; Oliver Kaczmarek
Paschke, Markus; Markus;Paschke; Markus Paschke
Röspel, René; René;Röspel; René Röspel
Völlers, Marja-Liisa; Marja-Liisa;Völlers; Marja-Liisa Völlers
Espendiller, Dr. Michael; Dr. Michael;Espendiller; Dr. Michael Espendiller
Frömming, Dr. Götz; Dr. Götz;Frömming; Dr. Götz Frömming
Höchst, Nicole; Nicole;Höchst; Nicole Höchst
Jongen, Dr. Marc; Dr. Marc;Jongen; Dr. Marc Jongen
Reichardt, Martin; Martin;Reichardt; Martin Reichardt
Brandenburg, Dr. Jens; Dr. Jens;Brandenburg; Dr. Jens Brandenburg
Brandenburg, Mario; Mario;Brandenburg; Mario Brandenburg
Dassler, Britta Katharina; Britta Katharina;Dassler; Britta Katharina Dassler
Heidt, Peter; Peter;Heidt; Peter Heidt
Sattelberger, Dr. h. c. Thomas; Dr. h. c. Thomas;Sattelberger; Dr. h. c. Thomas Sattelberger
Bull-Bischoff, Dr. Birke; Dr. Birke;Bull-Bischoff; Dr. Birke Bull-Bischoff
Gohlke, Nicole; Nicole;Gohlke; Nicole Gohlke
Pellmann, Sören; Sören;Pellmann; Sören Pellmann
Sitte, Dr. Petra; Dr. Petra;Sitte; Dr. Petra Sitte
Christmann, Dr. Anna; Dr. Anna;Christmann; Dr. Anna Christmann
Gehring, Kai; Kai;Gehring; Kai Gehring
Stumpp, Margit; Margit;Stumpp; Margit Stumpp
Walter-Rosenheimer, Beate; Beate;Walter-Rosenheimer; Beate Walter-Rosenheimer
