name;firstname;lastname;fullname
Roth, Michael; Michael;Roth; Michael Roth
Erndl, Thomas; Thomas;Erndl; Thomas Erndl
Ahmetovic, Adis; Adis;Ahmetovic; Adis Ahmetovic
Coße, Jürgen; Jürgen;Coße; Jürgen Coße
Diaby, Dr. Karamba; Dr. Karamba;Diaby; Dr. Karamba Diaby
Larem, Andreas; Andreas;Larem; Andreas Larem
Lugk, Bettina; Bettina;Lugk; Bettina Lugk
Müller, Michael; Michael;Müller; Michael Müller
Müntefering, Michelle; Michelle;Müntefering; Michelle Müntefering
Nietan, Dietmar; Dietmar;Nietan; Dietmar Nietan
Özoğuz, Aydan; Aydan;Özoğuz; Aydan Özoğuz
Schmid, Dr. Nils; Dr. Nils;Schmid; Dr. Nils Schmid
Schwabe, Frank; Frank;Schwabe; Frank Schwabe
Stegner, Dr. Ralf; Dr. Ralf;Stegner; Dr. Ralf Stegner
Abraham, Knut; Knut;Abraham; Knut Abraham
Beyer, Peter; Peter;Beyer; Peter Beyer
Grund, Manfred; Manfred;Grund; Manfred Grund
Hardt, Jürgen; Jürgen;Hardt; Jürgen Hardt
Kiesewetter, Roderich; Roderich;Kiesewetter; Roderich Kiesewetter
Koob, Markus; Markus;Koob; Markus Koob
Laschet, Armin; Armin;Laschet; Armin Laschet
Leikert, Dr. Katja; Dr. Katja;Leikert; Dr. Katja Leikert
Radwan, Alexander; Alexander;Radwan; Alexander Radwan
Ramsauer, Dr. Peter; Dr. Peter;Ramsauer; Dr. Peter Ramsauer
Röttgen, Dr. Norbert; Dr. Norbert;Röttgen; Dr. Norbert Röttgen
Widmann-Mauz, Annette; Annette;Widmann-Mauz; Annette Widmann-Mauz
Bacherle, Tobias B.; Tobias B.;Bacherle; Tobias B. Bacherle
Grundl, Erhard; Erhard;Grundl; Erhard Grundl
Lucks, Max; Max;Lucks; Max Lucks
Schäfer, Jamila; Jamila;Schäfer; Jamila Schäfer
Spellerberg, Merle; Merle;Spellerberg; Merle Spellerberg
Trittin, Jürgen; Jürgen;Trittin; Jürgen Trittin
Wagener, Robin; Robin;Wagener; Robin Wagener
Beeck, Jens; Jens;Beeck; Jens Beeck
Djir-Sarai, Bijan; Bijan;Djir-Sarai; Bijan Djir-Sarai
Glogowski-Merten, Anikó; Anikó;Glogowski-Merten; Anikó Glogowski-Merten
Lechte, Ulrich; Ulrich;Lechte; Ulrich Lechte
Müller-Rosentritt, Frank; Frank;Müller-Rosentritt; Frank Müller-Rosentritt
Semet, Rainer; Rainer;Semet; Rainer Semet
Bystron, Petr; Petr;Bystron; Petr Bystron
Gauland, Dr. Alexander; Dr. Alexander;Gauland; Dr. Alexander Gauland
Keuter, Stefan; Stefan;Keuter; Stefan Keuter
Moosdorf, Matthias; Matthias;Moosdorf; Matthias Moosdorf
Wundrak, Joachim; Joachim;Wundrak; Joachim Wundrak
Dağdelen, Sevim; Sevim;Dağdelen; Sevim Dağdelen
Gysi, Dr. Gregor; Dr. Gregor;Gysi; Dr. Gregor Gysi
