name;firstname;lastname;fullname
Droßmann, Falko; Falko;Droßmann; Falko Droßmann
Funke, Fabian; Fabian;Funke; Fabian Funke
Heinrich, Gabriela; Gabriela;Heinrich; Gabriela Heinrich
Karaahmetoğlu, Macit; Macit;Karaahmetoğlu; Macit Karaahmetoğlu
Klingbeil, Lars; Lars;Klingbeil; Lars Klingbeil
Martens, Dr. Zanda; Dr. Zanda;Martens; Dr. Zanda Martens
Papenbrock, Wiebke; Wiebke;Papenbrock; Wiebke Papenbrock
Rhie, Ye-One; Ye-One;Rhie; Ye-One Rhie
Schmid, Christoph; Christoph;Schmid; Christoph Schmid
Schraps, Johannes; Johannes;Schraps; Johannes Schraps
Schreider, Christian; Christian;Schreider; Christian Schreider
Stamm-Fibich, Martina; Martina;Stamm-Fibich; Martina Stamm-Fibich
Türk-Nachbaur, Derya; Derya;Türk-Nachbaur; Derya Türk-Nachbaur
Brand, Michael; Michael;Brand; Michael Brand
Grütters, Prof. Monika; Prof. Monika;Grütters; Prof. Monika Grütters
Krings, Dr. Günter; Dr. Günter;Krings; Dr. Günter Krings
Mayer-Lay, Volker; Volker;Mayer-Lay; Volker Mayer-Lay
Metzler, Jan; Jan;Metzler; Jan Metzler
Otte, Henning; Henning;Otte; Henning Otte
Rachel, Thomas; Thomas;Rachel; Thomas Rachel
Silberhorn, Thomas; Thomas;Silberhorn; Thomas Silberhorn
Ullrich, Dr. Volker; Dr. Volker;Ullrich; Dr. Volker Ullrich
Wadephul, Dr. Johann David; Dr. Johann David;Wadephul; Dr. Johann David Wadephul
Wanderwitz, Marco; Marco;Wanderwitz; Marco Wanderwitz
Winkler, Tobias; Tobias;Winkler; Tobias Winkler
Zippelius, Nicolas; Nicolas;Zippelius; Nicolas Zippelius
Badum, Lisa; Lisa;Badum; Lisa Badum
Brugger, Agnieszka; Agnieszka;Brugger; Agnieszka Brugger
Gambir, Schahina; Schahina;Gambir; Schahina Gambir
Kaddor, Lamya; Lamya;Kaddor; Lamya Kaddor
Mijatović, Boris; Boris;Mijatović; Boris Mijatović
Nanni, Sara; Sara;Nanni; Sara Nanni
Nouripour, Omid; Omid;Nouripour; Omid Nouripour
Hacker, Thomas; Thomas;Hacker; Thomas Hacker
in der Beek, Olaf; Olaf;in der Beek; Olaf in der Beek
Lambsdorff, Alexander Graf; Alexander Graf;Lambsdorff; Alexander Graf Lambsdorff
Link, Michael Georg; Michael Georg;Link; Michael Georg Link
Tippelt, Nico; Nico;Tippelt; Nico Tippelt
Vogel, Johannes; Johannes;Vogel; Johannes Vogel
Chrupalla, Tino; Tino;Chrupalla; Tino Chrupalla
Frohnmaier, Markus; Markus;Frohnmaier; Markus Frohnmaier
Kotré, Steffen; Steffen;Kotré; Steffen Kotré
Schmidt, Eugen; Eugen;Schmidt; Eugen Schmidt
Springer, René; René;Springer; René Springer
Hunko, Andrej; Andrej;Hunko; Andrej Hunko
Nastic, Zaklin; Zaklin;Nastic; Zaklin Nastic
