name;firstname;lastname;fullname
Breymaier, Leni; Leni;Breymaier; Leni Breymaier
Coße, Jürgen; Jürgen;Coße; Jürgen Coße
Hakverdi, Metin; Metin;Hakverdi; Metin Hakverdi
Maas, Heiko; Heiko;Maas; Heiko Maas
Post (Minden), Achim; Achim;Post (Minden); Achim Post (Minden)
Schmid, Christoph; Christoph;Schmid; Christoph Schmid
Stegner, Dr. Ralf; Dr. Ralf;Stegner; Dr. Ralf Stegner
Sthamer, Nadja; Nadja;Sthamer; Nadja Sthamer
Werner, Lena; Lena;Werner; Lena Werner
Zorn, Armand; Armand;Zorn; Armand Zorn
Abraham, Knut; Knut;Abraham; Knut Abraham
Friedrich, Dr. Hans-Peter; Dr. Hans-Peter;Friedrich; Dr. Hans-Peter Friedrich
Hardt, Jürgen; Jürgen;Hardt; Jürgen Hardt
Heilmann, Thomas; Thomas;Heilmann; Thomas Heilmann
Helfrich, Mark; Mark;Helfrich; Mark Helfrich
Lips, Patricia; Patricia;Lips; Patricia Lips
Mayer, Stephan; Stephan;Mayer; Stephan Mayer
Rouenhoff, Stefan; Stefan;Rouenhoff; Stefan Rouenhoff
Schäuble, Dr. Wolfgang; Dr. Wolfgang;Schäuble; Dr. Wolfgang Schäuble
Staffler, Katrin; Katrin;Staffler; Katrin Staffler
Wadephul, Dr. Johann David; Dr. Johann David;Wadephul; Dr. Johann David Wadephul
Bacherle, Tobias; Tobias;Bacherle; Tobias Bacherle
Emmerich, Marcel; Marcel;Emmerich; Marcel Emmerich
Grundl, Erhard; Erhard;Grundl; Erhard Grundl
Kindler, Sven-Christian; Sven-Christian;Kindler; Sven-Christian Kindler
Nanni, Sara; Sara;Nanni; Sara Nanni
Schäfer, Jamila; Jamila;Schäfer; Jamila Schäfer
Strengmann-Kuhn, Dr. Wolfgang; Dr. Wolfgang;Strengmann-Kuhn; Dr. Wolfgang Strengmann-Kuhn
Abel, Valentin; Valentin;Abel; Valentin Abel
Cronenberg, Carl-Julius; Carl-Julius;Cronenberg; Carl-Julius Cronenberg
Lambsdorff, Alexander Graf; Alexander Graf;Lambsdorff; Alexander Graf Lambsdorff
Lieb, Dr. Thorsten; Dr. Thorsten;Lieb; Dr. Thorsten Lieb
Westig, Nicole; Nicole;Westig; Nicole Westig
Boehringer, Peter; Peter;Boehringer; Peter Boehringer
Jacobi, Fabian; Fabian;Jacobi; Fabian Jacobi
Jacobi, Fabian; Fabian;Jacobi; Fabian Jacobi
Moosdorf, Matthias; Matthias;Moosdorf; Matthias Moosdorf
Al-Dailami, Ali; Ali;Al-Dailami; Ali Al-Dailami
Nastic, Zaklin; Zaklin;Nastic; Zaklin Nastic
