name;firstname;lastname;fullname
Budde, Katrin; Katrin;Budde; Katrin Budde
Wanderwitz, Marco; Marco;Wanderwitz; Marco Wanderwitz
Koß, Simona; Simona;Koß; Simona Koß
Lindh, Helge; Helge;Lindh; Helge Lindh
Schieder, Marianne; Marianne;Schieder; Marianne Schieder
Schneider, Daniel; Daniel;Schneider; Daniel Schneider
Weingarten, Dr. Joe; Dr. Joe;Weingarten; Dr. Joe Weingarten
Frieser, Michael; Michael;Frieser; Michael Frieser
Mörseburg, Maximilian; Maximilian;Mörseburg; Maximilian Mörseburg
Schenderlein, Dr. Christiane; Dr. Christiane;Schenderlein; Dr. Christiane Schenderlein
Widmann-Mauz, Annette; Annette;Widmann-Mauz; Annette Widmann-Mauz
Amtsberg, Luise; Luise;Amtsberg; Luise Amtsberg
Grundl, Erhard; Erhard;Grundl; Erhard Grundl
Tesfaiesus, Awet; Awet;Tesfaiesus; Awet Tesfaiesus
Glogowski-Merten, Anikó; Anikó;Glogowski-Merten; Anikó Glogowski-Merten
Hacker, Thomas; Thomas;Hacker; Thomas Hacker
Jongen, Dr. Marc; Dr. Marc;Jongen; Dr. Marc Jongen
Renner, Martin Erwin; Martin Erwin;Renner; Martin Erwin Renner
Korte, Jan; Jan;Korte; Jan Korte
