name;firstname;lastname;fullname
Kühnert, Kevin; Kevin;Kühnert; Kevin Kühnert
Müntefering, Michelle; Michelle;Müntefering; Michelle Müntefering
Philippi, Dr. Andreas; Dr. Andreas;Philippi; Dr. Andreas Philippi
Rohde, Dennis; Dennis;Rohde; Dennis Rohde
Wegge, Carmen; Carmen;Wegge; Carmen Wegge
Wiese, Dirk; Dirk;Wiese; Dirk Wiese
Bär, Dorothee; Dorothee;Bär; Dorothee Bär
Connemann, Gitta; Gitta;Connemann; Gitta Connemann
Heveling, Ansgar; Ansgar;Heveling; Ansgar Heveling
Klöckner, Julia; Julia;Klöckner; Julia Klöckner
Krings, Dr. Günter; Dr. Günter;Krings; Dr. Günter Krings
Fester, Emilia; Emilia;Fester; Emilia Fester
Sacher, Michael; Michael;Sacher; Michael Sacher
Schönberger, Marlene; Marlene;Schönberger; Marlene Schönberger
Fricke, Otto; Otto;Fricke; Otto Fricke
Tippelt, Nico; Nico;Tippelt; Nico Tippelt
Frömming, Dr. Götz; Dr. Götz;Frömming; Dr. Götz Frömming
Storch, Beatrix von; Beatrix von;Storch; Beatrix von Storch
Sitte, Dr. Petra; Dr. Petra;Sitte; Dr. Petra Sitte
