name;firstname;lastname;fullname
Castellucci, Prof. Dr. Lars; Prof. Dr. Lars;Castellucci; Prof. Dr. Lars Castellucci
Dieren, Jan; Jan;Dieren; Jan Dieren
Heinrich, Gabriela; Gabriela;Heinrich; Gabriela Heinrich
Hennig, Anke; Anke;Hennig; Anke Hennig
Nasr, Rasha; Rasha;Nasr; Rasha Nasr
Özoğuz, Aydan; Aydan;Özoğuz; Aydan Özoğuz
Brehm, Sebastian; Sebastian;Brehm; Sebastian Brehm
Brodesser, Dr. Carsten; Dr. Carsten;Brodesser; Dr. Carsten Brodesser
Hoppermann, Franziska; Franziska;Hoppermann; Franziska Hoppermann
Lips, Patricia; Patricia;Lips; Patricia Lips
Winkelmeier-Becker, Elisabeth; Elisabeth;Winkelmeier-Becker; Elisabeth Winkelmeier-Becker
Khan, Misbah; Misbah;Khan; Misbah Khan
Pahlke, Julian; Julian;Pahlke; Julian Pahlke
Taher Saleh, Kassem; Kassem;Taher Saleh; Kassem Taher Saleh
Lambsdorff, Alexander Graf; Alexander Graf;Lambsdorff; Alexander Graf Lambsdorff
Lechte, Ulrich; Ulrich;Lechte; Ulrich Lechte
Friedhoff, Dietmar; Dietmar;Friedhoff; Dietmar Friedhoff
Rinck, Frank; Frank;Rinck; Frank Rinck
Al-Dailami, Ali; Ali;Al-Dailami; Ali Al-Dailami
