name;firstname;lastname;fullname
Hoffmann, Dr. Christoph; Dr. Christoph;Hoffmann; Dr. Christoph Hoffmann
Abdi, Sanae; Sanae;Abdi; Sanae Abdi
Diaby, Dr. Karamba; Dr. Karamba;Diaby; Dr. Karamba Diaby
Gava, Manuel; Manuel;Gava; Manuel Gava
Leiser, Kevin; Kevin;Leiser; Kevin Leiser
Schamber, Rebecca; Rebecca;Schamber; Rebecca Schamber
Sthamer, Nadja; Nadja;Sthamer; Nadja Sthamer
Türk-Nachbaur, Derya; Derya;Türk-Nachbaur; Derya Türk-Nachbaur
Kippels, Dr. Georg; Dr. Georg;Kippels; Dr. Georg Kippels
Klein, Volkmar; Volkmar;Klein; Volkmar Klein
Rachel, Thomas; Thomas;Rachel; Thomas Rachel
Stefinger, Dr. Wolfgang; Dr. Wolfgang;Stefinger; Dr. Wolfgang Stefinger
Ziemiak, Paul; Paul;Ziemiak; Paul Ziemiak
Zippelius, Nicolas; Nicolas;Zippelius; Nicolas Zippelius
Düring, Deborah; Deborah;Düring; Deborah Düring
Gesenhues, Dr. Jan-Niclas; Dr. Jan-Niclas;Gesenhues; Dr. Jan-Niclas Gesenhues
Henneberger, Kathrin; Kathrin;Henneberger; Kathrin Henneberger
Menge, Susanne; Susanne;Menge; Susanne Menge
Gerschau, Knut; Knut;Gerschau; Knut Gerschau
Mansmann, Till; Till;Mansmann; Till Mansmann
Friedhoff, Dietmar; Dietmar;Friedhoff; Dietmar Friedhoff
Frohnmaier, Markus; Markus;Frohnmaier; Markus Frohnmaier
Naujok, Edgar; Edgar;Naujok; Edgar Naujok
Möhring, Cornelia; Cornelia;Möhring; Cornelia Möhring
