committee,name,firstname,lastname,fullname,official_name,user_id,period,begin,end,policy_field
Arbeit und Soziales,"Bartke, Dr. Matthias",Dr. Matthias,Bartke,Dr. Matthias Bartke,Matthias Bartke,3376953843,WP_19,2017-10-24,2021-10-26,arbeit
Arbeit und Soziales,"Birkwald, Matthias W.",Matthias W.,Birkwald,Matthias W. Birkwald,Matthias W. Birkwald,748851762,WP_19,2017-10-24,2021-10-26,arbeit
Arbeit und Soziales,"Aumer, Peter",Peter,Aumer,Peter Aumer,Peter Aumer,348460907,WP_19,2017-10-24,2021-10-26,arbeit
Arbeit und Soziales,"Biadacz, Marc",Marc,Biadacz,Marc Biadacz,Marc Biadacz,935815000006053888,WP_19,2017-10-24,2021-10-26,arbeit
Arbeit und Soziales,"Fabritius, Dr. Dr. h. c. Bernd",Dr. Dr. h. c. Bernd,Fabritius,Dr. Dr. h. c. Bernd Fabritius,Bernd Fabritius,NA,WP_19,2017-10-24,2021-10-26,arbeit
Arbeit und Soziales,"Heilmann, Thomas",Thomas,Heilmann,Thomas Heilmann,Thomas Heilmann,56806603,WP_19,2017-10-24,2021-10-26,arbeit
Arbeit und Soziales,"Heinrich, Frank",Frank,Heinrich,Frank Heinrich,Frank Heinrich,43959185,WP_19,2017-10-24,2021-10-26,arbeit
Arbeit und Soziales,"Kartes, Torbjörn",Torbjörn,Kartes,Torbjörn Kartes,Torbjörn Kartes,3188225915,WP_19,2017-10-24,2021-10-26,arbeit
Arbeit und Soziales,"Lezius, Antje",Antje,Lezius,Antje Lezius,Antje Lezius,NA,WP_19,2017-10-24,2021-10-26,arbeit
Arbeit und Soziales,"Oellers, Wilfried",Wilfried,Oellers,Wilfried Oellers,Wilfried Oellers,906847944,WP_19,2017-10-24,2021-10-26,arbeit
Arbeit und Soziales,"Schimke, Jana",Jana,Schimke,Jana Schimke,Jana Schimke,728990858,WP_19,2017-10-24,2021-10-26,arbeit
Arbeit und Soziales,"Schummer, Uwe",Uwe,Schummer,Uwe Schummer,Uwe Schummer,409203792,WP_19,2017-10-24,2021-10-26,arbeit
Arbeit und Soziales,"Stracke, Stephan",Stephan,Stracke,Stephan Stracke,Stephan Stracke,NA,WP_19,2017-10-24,2021-10-26,arbeit
Arbeit und Soziales,"Straubinger, Max",Max,Straubinger,Max Straubinger,Max Straubinger,NA,WP_19,2017-10-24,2021-10-26,arbeit
Arbeit und Soziales,"Weiler, Albert H.",Albert H.,Weiler,Albert H. Weiler,Albert H. Weiler,NA,WP_19,2017-10-24,2021-10-26,arbeit
Arbeit und Soziales,"Weiß, Peter",Peter,Weiß,Peter Weiß,Peter Weiß,54202670,WP_19,2017-10-24,2021-10-26,arbeit
Arbeit und Soziales,"Whittaker, Kai",Kai,Whittaker,Kai Whittaker,Kai Whittaker,2479436480,WP_19,2017-10-24,2021-10-26,arbeit
Arbeit und Soziales,"Zimmer, Prof. Dr. Matthias",Prof. Dr. Matthias,Zimmer,Prof. Dr. Matthias Zimmer,Matthias Zimmer,52994606,WP_19,2017-10-24,2021-10-26,arbeit
Arbeit und Soziales,"Gerdes, Michael",Michael,Gerdes,Michael Gerdes,Michael Gerdes,2468956470,WP_19,2017-10-24,2021-10-26,arbeit
Arbeit und Soziales,"Glöckner, Angelika",Angelika,Glöckner,Angelika Glöckner,Angelika Glöckner,976421048,WP_19,2017-10-24,2021-10-26,arbeit
Arbeit und Soziales,"Hiller-Ohm, Gabriele",Gabriele,Hiller-Ohm,Gabriele Hiller-Ohm,Gabriele Hiller-Ohm,NA,WP_19,2017-10-24,2021-10-26,arbeit
Arbeit und Soziales,"Kapschack, Ralf",Ralf,Kapschack,Ralf Kapschack,Ralf Kapschack,NA,WP_19,2017-10-24,2021-10-26,arbeit
Arbeit und Soziales,"Kolbe, Daniela",Daniela,Kolbe,Daniela Kolbe,Daniela Kolbe,516783036,WP_19,2017-10-24,2021-10-26,arbeit
Arbeit und Soziales,"Rosemann, Dr. Martin",Dr. Martin,Rosemann,Dr. Martin Rosemann,Martin Rosemann,28784085,WP_19,2017-10-24,2021-10-26,arbeit
